Quiz Key,Quiz,Total Attempts,Finished Attempts,No. of Students,Mean Grade,SD Grade
algebraic_operations,Algebraic Operations,39,37,30,7.693783783783783,2.481696721724598
expressions,Expressions,35,35,27,7.285714285714286,2.1110205027486613
intro_stack,Intro to STACK,40,35,28,8.428571428571429,2.2348932634825456
modulus_argument,Modulus & Argument,39,37,30,7.252702702702703,3.1309819622680757
powers_roots,Powers & Roots,38,34,27,7.271764705882354,2.2778784262504406
