Quiz,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Intro to STACK,100.0,94.12,100.0,58.62,93.75,93.75,87.1,100.0
Algebraic Operations,76.76,77.14,80.56,,,,,
Modulus & Argument,84.03,74.75,,,,,,
Powers & Roots,60.29,60.0,98.9,90.44,,,,
Expressions,61.43,80.0,73.53,86.67,,,,
